Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,,Survey,N,Relevant
J,"Arghittu, A; Dettori, M; Dempsey, E; Deiana, G; Angelini, C; Bechini, A; Bertoni, C; Boccalini, S; Bonanni, P; Cinquetti, S; Chiesi, F; Chironna, M; Costantino, C; Ferro, A; Fiacchini, D; Icardi, G; Poscia, A; Russo, F; Siddu, A; Spadea, A; Sticchi, L; Triassi, M; Vitale, F; Castiglia, P",,,,"Arghittu, Antonella; Dettori, Marco; Dempsey, Emma; Deiana, Giovanna; Angelini, Claudio; Bechini, Angela; Bertoni, Caterina; Boccalini, Sara; Bonanni, Paolo; Cinquetti, Sandro; Chiesi, Fabrizio; Chironna, Maria; Costantino, Claudio; Ferro, Antonio; Fiacchini, Daniel; Icardi, Giancarlo; Poscia, Andrea; Russo, Francesca; Siddu, Andrea; Spadea, Antonietta; Sticchi, Laura; Triassi, Maria; Vitale, Francesco; Castiglia, Paolo",,,Health Communication in COVID-19 Era: Experiences from the Italian VaccinarSi Network Websites,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,,,,,,,,,,,"In 2013, in a bid to combat Vaccine Hesitancy (VH) and provide information on vaccines by communicating with the general public and the health community (e.g., healthcare workers and public health operators), the Italian Society of Hygiene and Preventive Medicine (S.It.I.) published the national website VaccinarSi. The project was subsequently extended to ten Italian Regions. This led to the creation of the VaccinarSi Network, whose websites are publicly owned. The aim of this work was to present the framework of the websites of the VaccinarSi Network and to analyse user behaviour in the pre-COVID-19-era (dating from each website's publication until 31 January 2020) and in the COVID-19-era (from 1 February 2020 to 31 January 2021). Some metrics such as the number of visits to the site (sessions, number of users and average session duration), user behaviour (pages viewed, bounce rate and organic search) and the session acquisition path (direct traffic, referrals and social traffic) were searched, extrapolated and processed with Google Analytics. Qualitative and normally distributed quantitative variables were summarised with their absolute (relative) frequencies and means. Statistical differences between the means of the two periods were evaluated through paired t-test. A two-tailed p-value less than 0.05 was considered to be statistically significant. When the total values recorded over the period were compared, an overall increase in metrics was observed-the number of individual users, visits and individual pageviews rose in a statistically significant way. Our study aimed to highlight how combining disciplines such as health education and digital communication via Information and Communication Technologies (ICT) represents the best strategy to support citizens. This approach gives them the tools to become independent and responsible players that are capable of voluntarily and consciously choosing to adhere to vaccination programs. The VaccinarSi Network's goal for the future is to reach an even wider audience. By building each user's critical knowledge, this network enables users to be active components of a wider, more empowered community.",,,,"Dettori, Marco/N-8912-2018; Costantino, Claudio/F-4742-2018","Dettori, Marco/0000-0002-4901-2067; Arghittu, Antonella/0000-0001-9257-1422; Chiesi, Fabrizio/0000-0001-5645-8588; Bechini, Angela/0000-0002-6013-8779; Boccalini, Sara/0000-0002-9695-7549; chironna, maria/0000-0002-1043-1256; Castiglia, Paolo/0000-0002-0972-4828; Costantino, Claudio/0000-0002-3397-7331; BERTONI, CATERINA/0000-0002-6509-0567; Deiana, Giovanna/0000-0003-1151-6830; Bonanni, Paolo/0000-0003-2875-3744",,,,,,,,,,,,,1660-4601,,,,JUN,2021,18,11,,,,,,,5642,10.3390/ijerph18115642,,,,,,,WOS:000660013900001,34070427,,,,,,,,
J,"Bokemper, SE; Huber, GA; Gerber, AS; James, EK; Omer, SB",,,,"Bokemper, Scott E.; Huber, Gregory A.; Gerber, Alan S.; James, Erin K.; Omer, Saad B.",,,Timing of COVID-19 vaccine approval and endorsement by public figures,VACCINE,,,,,,,,,,,,"The global spread of COVID-19 has created an urgent need for a safe and effective vaccine. However, in the United States, the politicization of the vaccine approval process, including which public figures are endorsing it, could undermine beliefs about its safety and efficacy and willingness to receive it. Using a pair of randomized survey experiments, we show that announcing approval of a COVID-19 vaccine one week before the presidential election compared to one week after considerably reduces both beliefs about its safety and efficacy and intended uptake. However, endorsement by Dr. Anthony Fauci increases confidence and uptake among all partisan subgroups. Further, an endorsement by Dr. Fauci increased uptake and confidence in safety even if a vaccine receives pre-election approval. The results here suggest that perceptions of political influence in COVID-19 vaccine approval could significantly undermine the viability of a vaccine as a strategy to end the pandemic. (C) 2020 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0264-410X,1873-2518,,,,JAN 29,2021,39,5,,,,,825,829,,10.1016/j.vaccine.2020.12.048,,,,,,,WOS:000610181400009,33390295,,,,,,,,
J,"Razzaq, OA; Fahad, M; Khan, NA",,,,"Razzaq, Oyoon Abdul; Fahad, Muhammad; Khan, Najeeb Alam",,,Different variants of pandemic and prevention strategies: A prioritizing framework in fuzzy environment,RESULTS IN PHYSICS,,,,,,,,,,,,"In this trying time for the world battling different variants of the COVID'19 pandemic, different intervention strategies are being taken by government, to limit the spread of infection. Closing educational institutes, stay at home orders, campaigns for emphasis on vaccination, usage of medical mask and frequently sanitizing hands, etc. are the endeavors made by the authorities to decrease the number of cases in the country. In this regard, the contribution aims to help the decision-makers to identify a potential prevention strategy, based on public acceptance and intervention effectiveness. To achieve this objective, feasible judgments of professionals from three different sectors are brought together through meetings. Opinions, based on ten criteria, are recorded in linguistic form for prioritizing six alternatives. The linguistic terms are then evaluated and manipulated by entailing triangular fuzzy numbers and a group multi-criteria decision making (GMCDM) approach. After using the fuzzy analytical hierarchy process (F-AHP) for the complex decisions, the fuzzy VI.sekriterijumsko KOmpromisno Rangiranje method (F-VIKOR) is utilized to attain the closest ideal stratagem. Consequently, through the ranking orders of defuzzified scores, intuitive preference of compromise solutions is suggested. The tactic gaining more priority with respect to the group utility to the majority and F-VIKOR index is complete lockdown for the short term. Furthermore, a comparison analysis is also added in the discussion to verify the attained prioritized outcomes. This comparative study is carried out through the technique for order of preference by similarity to ideal solution (TOPSIS), which evidently produces the same preference of alternatives. In addition, this strategy can be apparently discovered to be an effective strategy adopted by different countries in successfully decreasing the number of cases.",,,,,,,,,,,,,,,,,2211-3797,,,,,SEP,2021,28,,,,,,,,104564,10.1016/j.rinp.2021.104564,,,,,,,WOS:000689622900002,34307006,,,,,,,,
J,"Ahmad, MZ; Ahmad, J; Aslam, M; Khan, MA; Alasmary, MY; Abdel-Wahab, BA",,,,"Ahmad, Mohammad Zaki; Ahmad, Javed; Aslam, Mohammed; Khan, Mohammad Ahmed; Alasmary, Mohammed Yahia; Abdel-Wahab, Basel A.",,,Repurposed drug against COVID-19: nanomedicine as an approach for finding new hope in old medicines,NANO EXPRESS,,,,,,,,,,,,"The coronavirus disease 2019 (COVID-19) has become a threat to global public health. It is caused by the novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) and has triggered over 17 lakh causalities worldwide. Regrettably, no drug or vaccine has been validated for the treatment of COVID-19 and standard treatment for COVID-19 is currently unavailable. Most of the therapeutics moieties which were originally intended for the other disease are now being evaluated for the potential to be effective against COVID-19 (re-purpose). Nanomedicine has emerged as one of the most promising technologies in the field of drug delivery with the potential to deal with various diseases efficiently. It has addressed the limitations of traditional repurposed antiviral drugs including solubility and toxicity. It has also imparted enhanced potency and selectivity to antivirals towards viral cells. This review emphasizes the scope of repositioning of traditional therapeutic approaches, in addition to the fruitfulness of nanomedicine against COVID-19.",,,,"Ahmad, Javed/H-4086-2016","Ahmad, Javed/0000-0002-7025-751X; Ahmad, Mohammad Zaki/0000-0003-2979-8776; Alasmary, Mohammed/0000-0003-3495-3152; Abdel-Wahab, Basel/0000-0002-5545-6422; Aslam, Mohammed/0000-0002-8074-3167",,,,,,,,,,,,,2632-959X,,,,JUN 1,2021,2,2,,,,,,,22007,10.1088/2632-959X/abffed,,,,,,,WOS:000659103500001,,,,,,,,,
J,"Gabarda, A; Butterworth, SW",,,,"Gabarda, Amanda; Butterworth, Susan W.",,,Using Best Practices to Address COVID-19 Vaccine Hesitancy: The Case for the Motivational Interviewing Approach,HEALTH PROMOTION PRACTICE,,,,,,,,,,,,"Future control of the coronavirus disease 2019 (COVID-19) pandemic is dependent on the uptake of the COVID-19 vaccine. Many factors have swayed the public's perception of this coronavirus and the new vaccinations, including misinformation, heightened emotions, and the divisive and tumultuous partisan climate. As such, vaccine hesitancy may be more prevalent for the COVID-19 vaccine than others. Healthcare workers are trusted sources of information and have the opportunity to influence an individual's choice to take the vaccine. For those who initially present as unwilling to be vaccinated, trying to persuade them with facts and scare tactics may cause more resistance. By using the communication approach of motivational interviewing, practitioners can support autonomy to reduce defensiveness, use a guiding style to elicit ambivalence and provide information, address personal agency to ensure that their patients understand that their efforts can reduce risk, and evoke a person's own argument for vaccination to decrease vaccine hesitancy.",,,,,,,,,,,,,,,,,1524-8399,1552-6372,,,,SEP,2021,22,5,,,,,611,615,,10.1177/15248399211016463,,MAY 2021,,,,,WOS:000649520800001,33966471,,,,,,,,
J,"Valdes-Balbin, Y; Santana-Mederos, D; Quintero, L; Fernandez, S; Rodriguez, L; Ramirez, BS; Perez-Nicado, R; Acosta, C; Mendez, Y; Ricardo, MG; Hernandez, T; Bergado, G; Pi, F; Valdes, A; Carmenate, T; Ramirez, U; Oliva, R; Soubal, JP; Garrido, R; Cardoso, F; Landys, M; Gonzalez, H; Farinas, M; Enriquez, J; Noa, E; Suarez, A; Fang, C; Espinosa, LA; Ramos, Y; Gonzalez, LJ; Climent, Y; Rojas, G; Relova-Hernandez, E; Infante, YC; Losada, SL; Boggiano, T; Ojito, E; Leon, K; Chiodo, F; Paquet, F; Chen, GW; Rivera, DG; Garcia-Rivera, D; Bencomo, VV",,,,"Valdes-Balbin, Yury; Santana-Mederos, Darielys; Quintero, Lauren; Fernandez, Sonsire; Rodriguez, Laura; Ramirez, Belinda Sanchez; Perez-Nicado, Rocmira; Acosta, Claudia; Mendez, Yanira; Ricardo, Manuel G.; Hernandez, Tays; Bergado, Gretchen; Pi, Franciscary; Valdes, Annet; Carmenate, Tania; Ramirez, Ubel; Oliva, Reinaldo; Soubal, Jean-Pierre; Garrido, Raine; Cardoso, Felix; Landys, Mario; Gonzalez, Humberto; Farinas, Mildrey; Enriquez, Juliet; Noa, Enrique; Suarez, Anamary; Fang, Cheng; Espinosa, Luis A.; Ramos, Yassel; Gonzalez, Luis Javier; Climent, Yanet; Rojas, Gertrudis; Relova-Hernandez, Ernesto; Infante, Yanelys Cabrera; Losada, Sum Lai; Boggiano, Tammy; Ojito, Eduardo; Leon, Kalet; Chiodo, Fabrizio; Paquet, Francoise; Chen, Guang-Wu; Rivera, Daniel G.; Garcia-Rivera, Dagmar; Bencomo, Vicente Verez",,,SARS-CoV-2 RBD-Tetanus Toxoid Conjugate Vaccine Induces a Strong Neutralizing Immunity in Preclinical Studies,ACS CHEMICAL BIOLOGY,,,,,,,,,,,,"Controlling the global COVID-19 pandemic depends, among other measures, on developing preventive vaccines at an unprecedented pace. Vaccines approved for use and those in development intend to elicit neutralizing antibodies to block viral sites binding to the host's cellular receptors. Virus infection is mediated by the spike glycoprotein trimer on the virion surface via its receptor binding domain (RBD). Antibody response to this domain is an important outcome of immunization and correlates well with viral neutralization. Here, we show that macromolecular constructs with recombinant RBD conjugated to tetanus toxoid (TT) induce a potent immune response in laboratory animals. Some advantages of immunization with RBD-TT conjugates include a predominant IgG immune response due to affinity maturation and long-term specific B-memory cells. These result demonstrate the potential of the conjugate COVID-19 vaccine candidates and enable their advance to clinical evaluation under the name SOBERANA02, paving the way for other antiviral conjugate vaccines.",,,,"Arteaga, Raine Garrido/AAN-1354-2020","Arteaga, Raine Garrido/0000-0002-6987-2814; PAQUET, Francoise/0000-0001-8838-3445; Gonzalez, Luis Javier/0000-0002-8875-3642; Mendez Gomez, Yanira/0000-0003-2124-4912; Perez Nicado, Rocmira/0000-0002-1657-6130; Rodriguez Noda, Laura Marta/0000-0003-0171-4681",,,,,,,,,,,,1554-8929,1554-8937,,,,JUL 16,2021,16,7,,,,,1223,1233,,10.1021/acschembio.1c00272,,,,,,,WOS:000674917600016,34219448,,,,,,,,
J,"Zimmerman, RK",,,,"Zimmerman, Richard K.",,,Helping patients with ethical concerns about COVID-19 vaccines in light of fetal cell lines used in some COVID-19 vaccines,VACCINE,,,,,,,,,,,,"Many persons with religious convictions report hesitancy about COVID-19 vaccines, in part due to ethical concerns that fetal cell lines are used in the development of certain vaccines. The issue of abortion is contentious and, given the potential impact on COVID-19 vaccination, it is important for clinicians to be aware of this issue, whatever their personal beliefs. I provide four responses that clinicians may offer their patients: 1) Ethical analyses of moral complicity and COVID vaccines. 2) Altruism and protecting others from a virus that is often transmitted while asymptomatic or pre-symptomatic. 3) Religious texts and many religious leaders support prevention and, therefore, vaccination. 4) Administration of vaccines not developed in fetal cell lines. Although I wish for all my patients to be vaccinated, I respect their autonomy to make the choice to be or not to be vaccinated and understand that many have a deep regard for fetal life. (C) 2021 Elsevier Ltd. All rights reserved.",,,,,"Zimmerman, Richard/0000-0001-5941-6092",,,,,,,,,,,,0264-410X,1873-2518,,,,JUL 13,2021,39,31,,,,,4242,4244,,10.1016/j.vaccine.2021.06.027,,,,,,,WOS:000671133900002,34172329,,,,,,,,
J,"Sudharsanan, N; Favaretti, C; Hachaturyan, V; Barnighausen, T; Vandormael, A",,,,"Sudharsanan, Nikkil; Favaretti, Caterina; Hachaturyan, Violetta; Barnighausen, Till; Vandormael, Alain",,,The effect of framing and communicating COVID-19 vaccine side-effect risks on vaccine intentions for adults in the UK and the USA: A structured summary of a study protocol for a randomized controlled trial,TRIALS,,,,,,,,,,,,"Objectives: Vaccine hesitancy is a major hurdle for stopping the COVID-19 pandemic. Recently, fear of vaccine side effects created widespread concern and paused global vaccination efforts. Many studies find that how medical risks are framed and communicated can influence individuals' perceptions and behavior, yet there is little evidence on how the communication of COVID-19 vaccine side-effect risks influences vaccine intentions. The primary objective of our study is to evaluate how the framing of vaccine-side effect risks impacts individuals' vaccine intentions and perceptions of vaccine safety. The study will assess the impact of 3 dimensions of side-effect framing: 1. Qualitative risk labels: Determine whether attaching a qualitative risk label (e.g. adding very low risk next to the actual numerical risk) impacts individuals' willingness to take a vaccine and their perceptions of its safety. 2. Comparison groups: Determine how framing side-effect risks in comparison to other causes of mortality (COVID-19 mortality and motor vehicle mortality) impacts individuals' willingness to take a vaccine and their perceptions of its safety. 3. How the comparison risks are presented: Determine whether comparisons to other causes of mortality are presented on an absolute or relative scale impacts individuals' willingness to take a vaccine and their perceptions of its safety. Secondarily, we will also randomize a subset of individuals to receive the status-quo framing, where the vaccine side-effect risks are presented like how they were presented in the media. We will then compare vaccine intentions and perceptions of vaccine safety between the status-quo and the pooled intervention group samples to provide some insight into how harmful the status-quo framing was. Ultimately, we believe that our results will provide the some of the first experimental evidence on how the communication of COVID-19 vaccine risks may impact the public's willingness to be vaccinated and can inform future efforts to increase vaccination rates. Trial design: Our study is an online-based randomized controlled trial designed to evaluate the effect of different vaccine side-effect framings on COVID-19 vaccine intentions and perceived safety for a hypothetical COVID-19 vaccine. Using a factorial design, we will experimentally assess the impact of 3 risk framing strategies, varying whether the risk is presented: (1) with a qualitative label, (2) whether the risk is presented with a comparison risk, and (3) for comparison cases, whether the comparison is in absolute or relative terms. We will also randomize a portion of respondents to a status quo framing where the side effect risk mimics the media's communication in early April 2021. Participants: This will be an online study setting. We will use Prolific to recruit participants and host our study on the Gorilla platform. To be eligible, participants must be 18 years old or over (male, female, or other), have current residence in the US or UK, and be able to speak English. Participants will be excluded from the study if they do not meet our inclusion criteria. Intervention and comparator: Our study content will consist of five pages presented to individuals online. Page 1 will explain the purpose of the study and contain the consent information. Page 2 will contain basic sociodemographic questions, including participants' age, sex, and schooling level. Page 3 will set up the experiment by telling individuals that we will describe a hypothetical new COVID-19 vaccine and that we would like to know how likely they would be to take the vaccine and how safe they think the vaccine is. On this page, we will also encourage individuals to respond truthfully and remind them that their answers are confidential and cannot be linked back to any personal identifying information. Page 4 will be the main experimental slide, where we will present individuals with information on the vaccine, varying how the vaccination risk is communicated based on which experimental framing arm they are randomized to. We will factorially randomize across the following factors in the following order (separately by country). First, we will determine whether individuals are randomized to the status quo framing, or the intervention framings (1500 respondents to the status quo, and 4500 to the intervention). Among those randomized to the intervention framing, we will randomize (equal allocation) whether the side effect is presented without a comparison, with a comparison to COVID-19 mortality, or with a comparison to motor vehicle mortality. We will then factorially randomize (equal allocation) whether the risk is presented with a qualitative risk label or not (e.g. very low risk). To ensure that the factors are independent of one another, we will do this by randomizing individuals to the risk labels within strata of the comparison group factor. Lastly, among those randomized to the comparison group, we will factorially randomize whether the risk is presented as an absolute or relative comparison. As previously, we will ensure independence by doing this randomization within strata of comparison group*risk labelling. This entire design is visualized in the full protocol. The experimental text for each arm is: Arm 1: With regards to side effects, so far 8 individuals have developed potentially life-threatening blood clots. This is among the approximately 7 million adults that have received the vaccine so far. Arm 2: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. Arm 3: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). Arm 4: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, 170 out of every 100,000 unvaccinated Americans died of COVID-19 based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, 108 out of every 100,000 unvaccinated individuals in the UK died of COVID-19 based on data from the past year. Arm 5: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, this is 1/170th of the risk of COVID-19 mortality among unvaccinated Americans based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, this is 1/108th of the risk of COVID-19 mortality among unvaccinated individuals in the UK based on data from the past year. Arm 6: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, 170 out of every 100,000 unvaccinated Americans died of COVID-19 based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, 108 out of every 100,000 unvaccinated individuals in the UK died of COVID-19 based on data from the past year. Arm 7: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, this is 1/170th of the risk of COVID-19 mortality among unvaccinated Americans based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, this is 1/108th of the risk of COVID-19 mortality among unvaccinated individuals in the UK based on data from the past year. Arm 8: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, 12 out of every 100,000 Americans died in a motor vehicle accident based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, 2.6 out of every 100,000 individuals in the UK died in a motor vehicle accident based on data from the past year. Arm 9: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, this is 1/12th of the risk of dying in a motor vehicle accident based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots. As a reference, this is almost 1/4th of the risk of dying in a motor vehicle accident based on data from the past year. Arm 10: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, 12 out of every 100,000 Americans died in a motor vehicle accident based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, 2.6 out of every 100,000 individuals in the UK died in a motor vehicle accident based on data from the past year. Arm 11: - Text for USA participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, this is 1/12th of the risk of dying in a motor vehicle accident based on data from the past year. - Text for UK participants: With regards to side effects, 1 out of 100,000 vaccinated individuals may develop serious blood clots (very low risk). As a reference, this is nearly 1/4th of the risk of dying in a motor vehicle accident based on data from the past year. The risk information will be presented on a single page along with the two main outcome questions. Lastly, for individuals that reported that they are unlikely or unsure about whether they would take the vaccine, the final page will ask them their reason (question based on a recently published study of COVID-19 vaccine hesitancy). Main outcomes: Our primary outcome is individuals' willingness to take the hypothetical COVID-19 vaccine. We will measure this outcome by asking, How likely would you be to take this vaccine? allowing individuals to choose from a four-point Likert response of Unlikely, Unsure leaning towards unlikely, Unsure leaning towards likely, Very likely. This outcome variable, including the categories and phrasing, is based on a recently published study on COVID-19 vaccine hesitancy conducted by researchers with the Vaccine Hesitance Project at the London School of Hygiene and Tropical Medicine. Our secondary outcome is individuals' perceived safety of the vaccine. We will assess this outcome by asking individuals, How safe do you feel this vaccine is? allowing them to choose answers ranging from 1-10 where 1 is extremely unsafe, and 10 is extremely safe. Both outcomes will be measured at the time of the questionnaire. Participants can take up to 45 min to complete the questions but will not be able to go back and change their responses after submitting their questionnaire. Randomization: Using a web-based randomization algorithm, Gorilla will randomly allocate participants to each of the experimental arms. Gorilla allows for two randomization options - independent randomization of each individual based on a probability draw and balanced randomization, which randomizes without replacement such that among groups of respondents a fixed proportion will end up in each experimental arm. We will use the balanced randomization option to ensure that our experimental arms are balanced. Participants will be randomized based on the allocations described above. Blinding: Because Prolific handles the interaction between the study investigators and participants, the participants will be completely anonymous to the study investigators. The outcome measures will be self-reported and submitted anonymously. All persons in the study team will be blinded to the group allocation. Numbers to be randomized: We will randomize 6000 participants per country for a total sample of 12000 individuals. Trial status: The protocol version number is 1.0 and the date is July 14, 2021. Recruitment is expected to begin on 26 July 2021 and end by August 10, 2021. Full protocol: The full protocol is attached as an additional file, accessible from the Trials website (Full_Protocol_20Jul2021) In the interest of expediting dissemination of this material, the familiar formatting has been eliminated; this Letter serves as a summary of the key elements of the full protocol.",,,,,,,,,,,,,,,,,,1745-6215,,,,SEP 6,2021,22,1,,,,,,,592,10.1186/s13063-021-05484-2,,,,,,,WOS:000693248500008,34488843,,,,,,,,
J,"Yadav, AK; Kumar, S; Singh, G; Kansara, NK",,,,"Yadav, Arun Kumar; Kumar, Surinder; Singh, Gurpreet; Kansara, Nikunj Kumar",,,Demystifying R Naught: Understanding What Does it Hide?,INDIAN JOURNAL OF COMMUNITY MEDICINE,,,,,,,,,,,,"Since the onset of the pandemic in Wuhan city, China, forecasting and projections of the pandemic are the areas of interest for the investigators, and the basic reproduction rate R0 always stayed the favorite tool. The basic reproduction number (R0) is either ratio or rate or the basic reproductive rate. This dimensionless number was calculated in the past to describe the contagiousness or transmissibility of infectious agents for many communicable diseases. Its importance in the context of COVID-19 is not less, it tells us about the public health measures to be undertaken for disease prevention, and how the transmission of COVID-19 will be affected or eliminated. R0 is affected by several biological, sociobehavioral, and environmental factors which decide agent transmission. R0 is estimated by using complex mathematical models, the results of which are easily distorted, misjudged, and misused. R0 is not a biological constant for an agent or pathogen, it is a rate over time. It can measure the disease severity and also gives an estimate about the herd immunity required for the reversal of epidemic. R0 cannot be altered through vaccination campaigns though it can tell us about the relationship between the population's immune status and epidemic curve. Modeled R0 values are dependent on the model structures and assumptions made. Some R0 values reported in the scientific literature are likely outdated as assumptions are frequently changing in the current pandemic. R0 must be predicted and applied with great caution as this basic metric is far from simple.",,,,,,,,,,,,,,,,,0970-0218,1998-3581,,,,JAN-MAR,2021,46,1,,,,,7,10,,10.4103/ijcm.IJCM_989_20,,,,,,,WOS:000625839200043,34035567,,,,,,,,
J,"Privor-Dumm, L; Vasudevan, P; Kobayashi, K; Gupta, J",,,,"Privor-Dumm, Lois; Vasudevan, Prarthana; Kobayashi, Kana; Gupta, Jaya",,,Archetype analysis of older adult immunization decision-making and implementation in 34 countries,VACCINE,,,,,,,,,,,,"The global population of adults over 65 years of age is growing rapidly and is expected to double by 2050. Countries will face substantial health, economic and social burden deriving from vaccine-preventable diseases (VPDs) such as influenza, pneumonia and herpes zoster in older adults. It will be essential that countries utilize several public health strategies, including immunization. Understanding the different approaches countries have taken on adult immunization could help provide future learnings and technical support for adult vaccines within life-course immunization strategies. In this study, we describe the priorities and approaches that underlie adult immunization decision-making and implementation processes in 32 high-and-middle-income countries and two territories (34 countries) who recommend adult vaccines in their national schedule. We conducted an archetype analysis based on a subset of two dozen indicators abstracted from a larger database. The analysis was based on a mixed-methods study, including results from 120 key informant interviews in six countries and a landscape review of secondary data from 34 countries. We found four distinct archetypes: disease prevention-focused; health security-focused; evolving adult focus; and, child-focused and cost-sensitive. The highest performing countries belonged to the disease prevention-focused and health security archetypes, although there was a range of performance within each archetype. Considering common barriers and facilitators of decision-making and implementation of adult vaccines within a primary archetype could help provide a framework for strategies to support countries with similar needs and approaches. It can also help in developing context-specific policies and guidance, including for countries prioritizing adult immunization programs in light of COVID-19. Further research may be beneficial to further refine archetypes and expand the understanding of what influences success within them. This can help advance policies and action that will improve vaccine access for older adults and build a stronger appreciation of the value of immunization amongst a variety of stakeholders. (C) 2020 Elsevier Ltd. All rights reserved.",,,,"Gupta, Jaya/ABC-3560-2020","Gupta, Jaya/0000-0002-4913-0872; Privor-Dumm, Lois/0000-0001-9807-2544",,,,,,,,,,,,0264-410X,1873-2518,,,,MAY 27,2020,38,26,,,,,4170,4182,,10.1016/j.vaccine.2020.04.027,,,,,,,WOS:000534573700007,32376108,,,,,,,,
J,"Baghdadi, LR; Alghaihb, SG; Abuhaimed, AA; Alkelabi, DM; Alqahtani, RS",,,,"Baghdadi, Leena R.; Alghaihb, Shatha G.; Abuhaimed, Alanoud A.; Alkelabi, Dania M.; Alqahtani, Rawan S.",,,"Healthcare Workers' Perspectives on the Upcoming COVID-19 Vaccine in Terms of Their Exposure to the Influenza Vaccine in Riyadh, Saudi Arabia: A Cross-Sectional Study",VACCINES,,,,,,,,,,,,"In 2019, a novel severe acute respiratory syndrome (SARS-CoV-2 (COVID-19)) caused a global pandemic. There was an urgent need to develop a vaccine against COVID-19 to reduce its spread and economic burden. The main objective of this study was to understand the attitudes and concerns of healthcare workers (HCWs) towards the upcoming COVID-19 vaccine, whether their decision was influenced by their history of taking the seasonal influenza vaccine, and factors that influence the acceptance of the upcoming COVID-19 vaccine. This was a cross-sectional study conducted in Riyadh, Saudi Arabia. We selected and surveyed 356 HCWs via an electronic self-administered questionnaire. A total of 61.16% of HCWs were willing to receive the COVID-19 vaccine, and 55.9% of them had received the seasonal influenza vaccine in the preceding year (2019-2020). The strongest predictors for taking the COVID-19 vaccine were the HCWs' belief that the COVID-19 vaccine would be safe, needed even for healthy people, that all HCWs should be vaccinated against COVID-19, and that HCWs will have time to take the vaccine. Being female, being middle aged, having <5 years of work experience, having no fear of injections, and being a non-smoker were predictive factors for taking the upcoming COVID-19 vaccine. No associations were found between the intention to take the COVID-19 vaccine and a history of taking the seasonal influenza vaccine.",,,,"Baghdadi, Leena R./ABC-8527-2020","Baghdadi, Leena R./0000-0003-3315-6266; Abuhaimed, Alanoud/0000-0002-9594-1924",,,,,,,,,,,,,2076-393X,,,,MAY,2021,9,5,,,,,,,465,10.3390/vaccines9050465,,,,,,,WOS:000654611200001,34066397,,,,,,,,
