Number,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,Early Access Date,UT (Unique WOS ID),Pubmed Id,Survey,N,Relevant,Rel_2
306,"Islam, Md. Zahurul; Zahan, Md. Kudrat-E; Al-Bari, Md. Abdul Alim",Convergence between global BCG vaccination and COVID-19 pandemic,JOURNAL OF MEDICAL VIROLOGY,"The novel coronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has kept the whole world in tenterhooks due to its severe life-threatening infectious disease, COVID-19. The virus is distinct from its cousins, SARS-CoV and MERS-CoV in terms of severity of the infection. The obligated killing properties of the SARS-CoV-2 virus is mediated by its unique structure. Efforts for developing vaccines for COVID-19 are ongoing, but it is unlikely to be available in the immediate future. Due to the absence of precise treatment, the investigators are discovering other effective, protective, and healing choices. However, the lower than a predictable number of SARS-CoV-2 cases in countries with fragile health systems is mystifying. Recently, there has been a buzz about the protective effect of Bacille Calmette-Guerin (BCG) vaccine in COVID-19 through long-term boosting of trained immunity. Based onepidemiological correlations, we link up that BCG vaccination adopted by different countries might influence the SARS-CoV-2 transmission patterns and/or COVID-19 associated mortality through the vaccine's capacity to confer heterologous protection. A number of clinical studies are underway to investigate this possibility but even if they prove effective-many questions will remain. Moreover, responsiblestewardship of the BCGvaccine in the context of the COVID-19 epidemic is directly needed.",MAR,2021,93,3,SEP 2020,WOS:000573333400001,32827313,,,,
307,"Dias-Godoi, Isabella Piassi; Rocha Sarmento, Tulio Tadeu; Reis, Edna Afonso; Gargano, Ludmila Peres; Godman, Brian; Acurcio, Francisco de Assis; Alvares-Teodoro, Juliana; Guerra Junior, Augusto Afonso; Ruas, Cristina Mariano",Acceptability and willingness to pay for a hypothetical vaccine against SARS CoV-2 by the Brazilian consumer: a cross-sectional study and the implications,EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH,"Introduction The new coronavirus pandemic has appreciably impacted morbidity and mortality, as well as having an economic impact worldwide. New vaccines are a potential way forward to reduce transmission rates and subsequent infection. In Brazil, vaccines are being distributed via the public sector; however, in the future, they will be available in the private market. Information about consumers' willingness to pay (WTP) for a hypothetical vaccine against SARS CoV-2 can help future price setting discussions. Methods A cross-sectional study was conducted with consumers in the five regions of Brazil regarding the WTP for a hypothetical vaccine against SARS CoV-2 with a 50% efficacy. Results A total of 1402 individuals over 18 years of age who declared not having COVID-19 at the time of the survey were interviewed. The acceptability for this hypothetical vaccine was 80.7%. In addition, the amount of WTP by Brazilian consumers for a hypothetical SARS CoV-2 vaccine was estimated at US$ 22.18(120.00 BRL). Conclusion This study can contribute to decision-making to inform potential pricing for a hypothetical SARS CoV-2 vaccine.",,,,,JUN 2021,WOS:000661338600001,33993823,,,,
308,"Frohman, Elliot M.; Villemarette-Pittman, Nicole R.; Rodriguez, Adriana; Glanzman, Robert; Rugheimer, Sarah; Komogortsev, Oleg; Zamvil, Scott S.; Cruz, Roberto Alejandro; Varkey, Thomas C.; Frohman, Ashley N.; Frohman, Audrey R.; Parsons, Matthew S.; Konkle, Emily Heckmann; Frohman, Teresa C.","Application of an evidence-based, out-patient treatment strategy for COVID-19: Multidisciplinary medical practice principles to prevent severe disease*",JOURNAL OF THE NEUROLOGICAL SCIENCES,"The COVID-19 pandemic has devastated individuals, families, and institutions throughout the world. Despite the breakneck speed of vaccine development, the human population remains at risk of further devastation. The decision to not become vaccinated, the protracted rollout of available vaccine, vaccine failure, mutational forms of the SARS virus, which may exhibit mounting resistance to our molecular strike at only one form of the viral family, and the rapid ability of the virus(es) to hitch a ride on our global transportation systems, means that we are will likely continue to confront an invisible, yet devastating foe. The enemy targets one of our human physiology's most important and vulnerable life-preserving body tissues, our broncho-alveolar gas exchange apparatus. Notwithstanding the fear and the fury of this microbe's potential to raise existential questions across the entire spectrum of human endeavor, the application of an early treatment intervention initiative may represent a crucial tool in our defensive strategy. This strategy is driven by evidence-based medical practice principles, those not likely to become antiquated, given the molecular diversity and mutational evolution of this very clever world traveler.",JUL 15,2021,426,,,WOS:000659025500016,33971376,,,,
309,"Rowland, Michael A.; Swannack, Todd M.; Mayo, Michael L.; Parno, Matthew; Farthing, Matthew; Dettwiller, Ian; George, Glover; England, William; Reif, Molly; Cegan, Jeffrey; Trump, Benjamin; Linkov, Igor; Lafferty, Brandon; Bridges, Todd",COVID-19 infection data encode a dynamic reproduction number in response to policy decisions with secondary wave implications,SCIENTIFIC REPORTS,"The SARS-CoV-2 virus is responsible for the novel coronavirus disease 2019 (COVID-19), which has spread to populations throughout the continental United States. Most state and local governments have adopted some level of social distancing policy, but infections have continued to spread despite these efforts. Absent a vaccine, authorities have few other tools by which to mitigate further spread of the virus. This begs the question of how effective social policy really is at reducing new infections that, left alone, could potentially overwhelm the existing hospitalization capacity of many states. We developed a mathematical model that captures correlations between some state-level social distancing policies and infection kinetics for all U.S. states, and use it to illustrate the link between social policy decisions, disease dynamics, and an effective reproduction number that changes over time, for case studies of Massachusetts, New Jersey, and Washington states. In general, our findings indicate that the potential for second waves of infection, which result after reopening states without an increase to immunity, can be mitigated by a return of social distancing policies as soon as possible after the waves are detected.",MAY 25,2021,11,1,,WOS:000659135700004,34035322,,,,
310,"Yang, Zheng; Luo, Xi; Jia, Hepeng",Is It All a Conspiracy? Conspiracy Theories and People's Attitude to COVID-19 Vaccination,VACCINES,"A large body of research has found that people's beliefs in conspiracy theories about infectious diseases negatively impacts their health behaviors concerning vaccination. Conspiracy belief-based vaccination hesitancy has become more rampant after the global outbreak of COVID-19. However, some important questions remain unanswered. For instance, do different versions of conspiracy theories-particularly conspiracy theories about the origin of the epidemic (e.g., that the SARS-CoV-2 leaked from a Wuhan virology laboratory or that the virus was of foreign origin) and the general theories about vaccine conspiracies (e.g., pharmaceutical companies covered up the danger of vaccines or people are being deceived about the effectiveness of vaccines)-have the same effect on vaccination intentions? Through a national survey adopting quota sampling in China, the current study tested the relationship between people's conspiracy beliefs and their intention to receive the COVID-19 vaccination. The findings show that people's embrace of conspiracy theories did indeed affect their intention to take COVID-19 shots. However, only conspiracy theories related to vaccines had a significant impact, while belief in more general theories about COVID-19 did not significantly affect vaccination intentions. People's knowledge of vaccines (vaccine literacy) played an important role in this relationship. People with lower beliefs in vaccines conspiracy theories and higher levels of vaccine literacy were more likely to receive the COVID-19 vaccination.</p>",OCT,2021,9,10,,WOS:000711840900001,34696159,,,,
311,"Hossain, Md Emran; Rana, Md Jaber; Islam, Md Sayemul; Khan, Md Akhtaruzzaman; Chakrobortty, Sudipto; Ema, Nishat Sultana; Bekun, Festus Victor","COVID-19 vaccine-taking hesitancy among Bangladeshi people: knowledge, perceptions and attitude perspective",HUMAN VACCINES & IMMUNOTHERAPEUTICS,"Several novel efforts have been put forth to make a readily available vaccine against the global pandemic of COVID-19. However, there seems to appear vaccine-taking hesitancy among the general people. Against this backdrop, this current study sets to assess the vaccine-taking intention, ways to overcome the vaccine-taking reluctance among Bangladeshi people and explore their knowledge, perceptions, and attitude toward the COVID-19 vaccine. To this end, this study leveraged on a cross-sectional survey, which was consisted of 1377 respondents covering the eight divisions of Bangladesh. The descriptive statistical method and ordinal logistics regression were employed to explore and rationalize our study outlined objectives. Empirical findings revealed that approximately 71% of the respondents had adequate knowledge about the COVID-19 vaccine, whereas 46% of the respondents were willing to be vaccinated against COVID-19 while the rest of the respondents were hesitant to take the vaccine. However, concern about the potential side effects was one of the core reasons for vaccine-taking hesitancy. Assuring the common people about vaccine safety and efficacy, along with easing the registration procedure, can ameliorate people's confidence to get vaccinated. Meanwhile, about 60% of the respondents believed that a vaccine could help Bangladesh win the battle against COVID-19 and will allow back to normal life. Although the government has taken some pragmatic action steps to promote the vaccination rate, it is recommended that the mass vaccination program should be extended to the grassroots level with proper extension community support and easing the registration process.",,,,,SEP 2021,WOS:000698739600001,34554050,,,,
312,"Alzubaidi, Hamzah; Samorinha, Catarina; Saddik, Basema; Saidawi, Ward; Abduelkarem, Abduelmula R.; Abu-Gharbieh, Eman; Sherman, Susan M.",A mixed-methods study to assess COVID-19 vaccination acceptability among university students in the United Arab Emirates,HUMAN VACCINES & IMMUNOTHERAPEUTICS,"To effectively achieve herd immunity against COVID-19, a substantial proportion of a population would need to be vaccinated. However, vaccine hesitancy and refusal are significant issues globally. This mixed-methods study aimed to investigate university students' attitudes in the United Arab Emirates (UAE) toward the COVID-19 vaccination, determine the factors associated with vaccine hesitancy, and understand the underlying reasons. We conducted an online survey between 16th-24th February 2021 in 669 students from the University of Sharjah (UAE) and semi-structured qualitative interviews with a subsample of 11 participants. Data on COVID-19 vaccine intention and uptake, risk perception, beliefs and attitudes toward the disease and the vaccine were collected. Multinomial logistic regression was applied and thematic content analysis was conducted with qualitative data. Overall, 31.8% of students demonstrated vaccine hesitancy; 24.4% of students reported a high intention to get the vaccine, and 43.8% were already vaccinated. Vaccine hesitancy was associated with less positive beliefs and attitudes toward the COVID-19 vaccine (AdjOR = 0.557;95%CI 0.468-0.662), high perceived adverse effects (AdjOR = 1.736;95%CI 1.501-2.007), and not perceiving easy access to a vaccination center (AdjOR = 0.820;95%CI 0.739-0.909). The main reasons underlying vaccine hesitancy were related to uncertainty about the effectiveness of the vaccine, knowledge about negative experiences from vaccination among family and/or community, overvaluing the risks of the vaccine in relation to the potential benefits, and not perceiving immunization as a social norm. To increase COVID-19 vaccination uptake, interventions to reduce hesitancy could focus on reducing fears about adverse effects and highlighting individual and societal benefits of the vaccination.",,,,,SEP 2021,WOS:000696854500001,34534052,,,,
313,"Farid, Yasser; Vissers, Gino; Ortiz, Soccoro; Tondu, Thierry; Thiessen, Filip; Coppieters, Yves; Wauthy, Pierre",Are surgeons ready to get the COVID-19 vaccine?,ACTA CHIRURGICA BELGICA,"Background Vaccination against COVID-19 has started in several countries already and is on its way in others. However, there is an important hesitance towards the vaccine. The aim of this study is to evaluate the vaccination hesitance and main concerns towards the vaccine among surgeons. Methods An anonymous survey of 16 questions was sent to 138 Belgian surgeons before the start of vaccination in Belgium. The questions were divided into sections, evaluating demographics, COVID-19 test status and symptoms, the surgeon's opinion on the COVID-19 vaccination and their main concerns. Results Ninety-three out of 138 surgeons (67.4%) completed the survey: two-third of them were residents. Sixty-nine surgeons (74.2%) do want to get vaccinated. Forty-two surgeons (45.2%) feel like they do not have enough information about the vaccine. Residents feel significantly more underinformed than consultants (52.3% and 29.0%, respectively). Surgeons who feel to be well-informed are more willing to get vaccinated (92.2%) compared to those who feel to have a lack of information (52.4%). The main concerns among surgeons include effectiveness (26.9%), safety and side effects (19.4%) and organisation and vaccination strategy (12.9%). Twenty-five surgeons (26.9%) have no concerns at all. Conclusion Most surgeons (74.2%) are ready for their COVID-19 vaccine. However, some of the surgeons are still doubtful about the vaccine. A lack of information plays a major role in their scepticism. A strong communication strategy is necessary to educate, reassure and motivate surgeons to get vaccinated.",,,,,SEP 2021,WOS:000698249000001,34474635,,,,
314,"Belingheri, Michael; Roncalli, Massimo; Riva, Michele Augusto; Paladino, Maria Emilia; Teruzzi, Carlo Maria",COVID-19 vaccine hesitancy and reasons for or against adherence among dentists,JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,"Background. COVID-19 has spread widely among health care workers. Oral health care workers have an increased risk of being infected owing to dental practice characteristics. New, effective vaccines against COVID-19 have been approved for use. The authors aim was to evaluate in-tentions to be vaccinated against COVID-19 in a population of dentists and identify factors associated with their intentions. Methods. The authors conducted an anonymous online survey among 761 dentists enrolled at the Board of Physicians and Dentists of the District of Monza Brianza, Monza, Italy. The authors collected data on demographic characteristics, influenza vaccine uptake, COVID-19 history, vac-cine attitudes, and specific reasons for their intentions to be vaccinated against COVID-19 or not. Results. Overall, 421 dentists completed the survey. More than 82% of the participants declared their intention to be vaccinated against COVID-19. The multivariate logistic regression model reported a positive association with receiving the influenza vaccine in the 2020-2021 influenza season (odds ratio, 5.15; 95% CI, 2.14 to 12.39) and a negative association with receiving a diagnosis of COVID-19 previously (odds ratio, 0.32; 95% CI, 0.15 to 0.66). The participants' main reason for supporting vaccination was to protect their family and friends (87%) and their main reason for opposing vaccination was the lack of information (39%). Conclusions. It is fundamental to consider vaccine hesitancy in health care workers and address it properly because they must provide recommendations to patients and promote adherence to vaccination programs. Practical Implications. The vaccination of dental practitioners should be prioritized owing to the high risk related to dental practice.",SEP,2021,152,9,,WOS:000691097100007,34301398,,,,
315,"Domnich, Alexander; Grassi, Riccardo; Fallani, Elettra; Spurio, Alida; Bruzzone, Bianca; Panatto, Donatella; Marozzi, Barbara; Cambiaggi, Maura; Vasco, Alessandro; Orsi, Andrea; Icardi, Giancarlo",Changes in Attitudes and Beliefs Concerning Vaccination and Influenza Vaccines between the First and Second COVID-19 Pandemic Waves: A Longitudinal Study,VACCINES,"Perceptions of the risks of vaccine-preventable diseases and preventive behaviors change over time. The ongoing COVID-19 pandemic may have modified laypeople's attitudes towards routine vaccinations. In this longitudinal study, we aimed to assess changes in attitudes and beliefs concerning (influenza) vaccines between the first and second COVID-19 pandemic waves. A total of 1979 participants completed both 2020 and 2021 surveys. After one year, more interviewees agreed that vaccines were fundamental and should be mandatory (77.3% vs. 75.0%). Analogously, willingness to undergo influenza vaccination increased (p < 0.001) from 44.1% to 48.6%. This increase was seen in subjects aged >= 35 years. Previous influenza vaccinations, receipt of a COVID-19 vaccine, positive attitudes towards (influenza) vaccination, male sex, and older age were the main correlates of willingness to receive the 2021/22 influenza vaccine. Totals of 12.6% and 11.8% had no intention to receive the next seasonal influenza and COVID-19 vaccines, respectively. Most respondents favored a hypothetical combined influenza/COVID-19 vaccine (73.7%) or influenza and COVID-19 vaccine co-administration (67.5%). In Italy, influenza and COVID-19 vaccination hesitancy and refusal are common. Effective public health strategies to pursue higher uptake of both vaccines are urgently needed.",SEP,2021,9,9,,WOS:000702134700001,34579253,yes,,5(mostly influenze vacc in context of covid-19),5
316,"Luo, Chen; Ji, Kaiyuan; Tang, Yulong; Du, Zhiyuan",Exploring the Expression Differences Between Professionals and Laypeople Toward the COVID-19 Vaccine: Text Mining Approach,JOURNAL OF MEDICAL INTERNET RESEARCH,"Background: COVID-19 is still rampant all over the world. Until now, the COVID-19 vaccine is the most promising measure to subdue contagion and achieve herd immunity. However, public vaccination intention is suboptimal. A clear division lies between medical professionals and laypeople. While most professionals eagerly promote the vaccination campaign, some laypeople exude suspicion, hesitancy, and even opposition toward COVID-19 vaccines. Objective: This study aims to employ a text mining approach to examine expression differences and thematic disparities between the professionals and laypeople within the COVID-19 vaccine context. Methods: We collected 3196 answers under 65 filtered questions concerning the COVID-19 vaccine from the China-based question and answer forum Zhihu. The questions were classified into 5 categories depending on their contents and description: adverse reactions, vaccination, vaccine effectiveness, social implications of vaccine, and vaccine development. Respondents were also manually coded into two groups: professional and laypeople. Automated text analysis was performed to calculate fundamental expression characteristics of the 2 groups, including answer length, attitude distribution, and high-frequency words. Furthermore, structural topic modeling (STM), as a cutting-edge branch in the topic modeling family, was used to extract topics under each question category, and thematic disparities were evaluated between the 2 groups. Results: Laypeople are more prevailing in the COVID-19 vaccine-related discussion. Regarding differences in expression characteristics, the professionals posted longer answers and showed a conservative stance toward vaccine effectiveness than did laypeople. Laypeople mentioned countries more frequently, while professionals were inclined to raise medical jargon. STM discloses prominent topics under each question category. Statistical analysis revealed that laypeople preferred the safety of Chinese-made vaccine topic and other vaccine-related issues in other countries. However, the professionals paid more attention to medical principles and professional standards underlying the COVID-19 vaccine. With respect to topics associated with the social implications of vaccines, the 2 groups showed no significant difference. Conclusions: Our findings indicate that laypeople and professionals share some common grounds but also hold divergent focuses toward the COVID-19 vaccine issue. These incongruities can be summarized as qualitatively different in perspective rather than quantitatively different in scientific knowledge. Among those questions closely associated with medical expertise, the qualitatively different characteristic is quite conspicuous. This study boosts the current understanding of how the public perceives the COVID-19 vaccine, in a more nuanced way. Web-based question and answer forums are a bonanza for examining perception discrepancies among various identities. STM further exhibits unique strengths over the traditional topic modeling method in statistically testing the topic preference of diverse groups. Public health practitioners should be keenly aware of the cognitive differences between professionals and laypeople, and pay special attention to the topics with significant inconsistency across groups to build consensus and promote vaccination effectively.",AUG 27,2021,23,8,,WOS:000689731600017,34346885,,,,
317,"Kumar, Rajeev; Alabdulla, Majid; Elhassan, Nahid M.; Reagu, Shuja Mohd",Qatar Healthcare Workers' COVID-19 Vaccine Hesitancy and Attitudes: A National Cross-Sectional Survey,FRONTIERS IN PUBLIC HEALTH,"Introduction: Healthcare workers are the critical frontline workforce of the COVD-19 pandemic and are considered a target group for vaccination. Hesitancy to vaccinate is a major concern that can jeopardize the vaccination programme. The hesitancy rates in the general population and healthcare workers (HCWs) vary globally, and more importantly, hesitancy in HCWs is of particular concern, as it can influence the wider population. Materials and Methods: The present study evaluated the vaccine hesitancy rate and its sociodemographic and attitudinal factors among the HCWs in the state of Qatar. We conducted a national cross-sectional survey using a validated hesitancy measurement tool between October 15 and November 15, 2020. A total of 7,821 adults above the age of 18 years out of the 2.3 million adult Qatari residents completed the survey. While majority of the participants were from the general public, 1,546 participants were HCWs. Sociodemographic data, along with attitudes and beliefs around COVID-19 vaccination, were collected from the respondents. Results: We found that 12.9% of the study participants showed vaccine hesitancy, defined as definitely or probably will not take the vaccine if offered, and 25.31% reported that they were unsure about the uptake of the COVID-19 vaccine. Female respondents were more hesitant toward the vaccine. Safety and efficacy concerns of vaccine were the significant predictors of vaccine hesitancy. The primary predictor for vaccine acceptance was a better understanding of the disease and vaccine. Discussion: Overall, 1 in 8 HCWs were reluctant to get vaccinated against COVID-19, mainly due to concerns about the vaccine's efficacy and safety. Education about the vaccine's safety and efficacy can potentially improve acceptance among healthcare workers.",AUG 25,2021,9,,,WOS:000697175400001,34513792,,,,
318,"Zhang, Mei-Xian; Lin, Xiao-Qing; Chen, Yan; Tung, Tao-Hsin; Zhu, Jian-Sheng",Determinants of parental hesitancy to vaccinate their children against COVID-19 in China,EXPERT REVIEW OF VACCINES,"Vaccine hesitancy seriously hinders herd immunity. We explored the determinants of parental hesitancy to vaccinate children against Coronavirus Disease 2019 (COVID-19) in China. A population-based self-administered online questionnaire evaluating parental hesitancy in vaccinating their children against COVID-19 was conducted in Taizhou, China. Of the 2463 parents who received the invitation, 1788 (72.6%) responded to the survey. Of the repondents, 52.5% were hesitant. Mothers exhibited a greater proportion of vaccine hesitancy than fathers did (57.5% vs. 41.7%, P < 0.001). Multiple logistic regression analysis indicated that parents with children under 18 years of age (OR = 0.94, 95%CI: 0.90-0.99), lower knowledge scores about COVID-19 vaccination (Q1: OR = 1.92, 95%CI: 1.37-2.69; Q2: OR = 1.51, 95%CI: 1.10-2.08), lower awareness of the permission of vaccinating children (OR = 1.74, 95%CI: 1.36-2.23) and hesitancy to inoculate themselves (OR = 8.18, 95%CI: 6.48-10.33) were associated with parental hesitancy to inoculate their children. Results also revealed the disparity between fathers and mothers regarding associated factors. This study found that a substantial proportion of parents reported being hesitant to vaccinate children against COVID-19, implying the necessity of comprehensive assessment and health education programs for vaccination systems in China.",,,,,AUG 2021,WOS:000687593600001,34376095,,,,
319,"Sadaqat, Waliya; Habib, Shanzay; Tauseef, Ambreen; Akhtar, Sheharyar; Hayat, Meryum; Shujaat, Syeda A.; Mahmood, Amina",Determination of COVID-19 Vaccine Hesitancy Among University Students,CUREUS,"Introduction With the sudden outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-COV-2), vaccines appear to be the most efficient measure in combating spread. However, vaccines are only effective if a community collectively uptakes vaccination. This approach is growing increasingly difficult with the emergence of 'Vaccine Hesitancy.' This paper aims to determine the association between university curricula and the degree of hesitancy for the COVID-19 vaccine. Methods The online questionnaire assessed demographic data, prior knowledge of vaccines, attitude towards COVID-19 vaccines using an adapted version of the WHO Strategic Advisory Group of Experts (SAGE) Working Group's Vaccine Hesitancy Survey (VHS) and factors likely to motivate vaccine uptake. By using binary scoring, the degree of hesitancy among students was determined. Exploratory Factor Analysis (EFA) on VHS revealed underlying causes of hesitancy. To analyze the dependence between hesitancy and curriculum, a chi-squared test was conducted. Results Medical students scored higher for prior knowledge of vaccines (M = 3.54) as opposed to non-medical students (M = 3.49). Medical students responded favorably to COVID-19 vaccines with only 1.37% showing hesitancy for all nine items of VHS, compared to 2.55% of non-medical students. EFA produced three subscales within the VHS: lack of confidence, risk factor concern, and misinformation. The lack of confidence factor accounted for 65% of the data obtained. The chi-square test solidified that vaccine hesitancy is dependent on curriculum. Conclusion The majority of non-medical students showed hesitancy towards obtaining COVID-19 vaccines compared to medical students who were more willing, largely owing to their knowledge and understanding of vaccines.",AUG 18,2021,13,8,,WOS:000686905700008,34540503,,,,
320,"Pink, Sophia L.; Chu, James; Druckman, James N.; Rand, David G.; Willer, Robb",Elite party cues increase vaccination intentions among Republicans,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"Overcoming the COVID-19 pandemic requires motivating the vast majority of Americans to get vaccinated. However, vaccination rates have become politically polarized, and a substantial proportion of Republicans have remained vaccine hesitant for months. Here, we explore how endorsements by party elites affect Republicans' COVID-19 vaccination intentions and attitudes. In a preregistered survey experiment (n = 1,480), we varied whether self-identified Republicans saw endorsements of the vaccine from prominent Republicans (including video of a speech by former President Donald Trump), from the Democratic Party (including video of a speech by President Joseph Biden), or a neutral control condition including no endorsements. Unvaccinated Republicans who were exposed to the Republican elite endorsement reported 7.0% higher vaccination intentions than those who viewed the Democratic elite endorsement and 5.7% higher than those in the neutral control condition. These effects were statistically mediated by participants' reports of how much they thought Republican politicians would want them to get vaccinated. We also found evidence of backlash effects against Democratic elites: Republicans who viewed the Democratic elite endorsement reported they would be significantly less likely to encourage others to vaccinate and had more negative attitudes toward the vaccine, compared with those who viewed the Republican elite endorsement or the neutral control. These results demonstrate the relative advantage of cues from Republican elites-and the risks of messaging from Democrats currently in power-for promoting vaccination among the largest vaccine-hesitant subgroup in the United States.",AUG 10,2021,118,32,,WOS:000685043800016,34312254,,,,
321,"Giuliani, Mattia; Ichino, Anna; Bonomi, Alice; Martoni, Riccardo; Cammino, Stefania; Gorini, Alessandra","Who Is Willing to Get Vaccinated? A Study into the Psychological, Socio-Demographic, and Cultural Determinants of COVID-19 Vaccination Intentions",VACCINES,"Crucial to the success of the COVID-19 vaccination campaign is the rate of people who adhere to it. This study aimed to investigate the reasons underlying people's willingness to get vaccinated in a sample of Italian adults, considering the effects of different individual characteristics and psychological variables upon positive vs. negative/hesitant vaccination intentions, as well as subjects' self-reported motivations for such intentions. An anonymous cross-sectional survey was distributed online in February 2021. The results showed that trust in science, number of vaccinations received in 2019, and belief that COVID-19 is more severe than the common flu, were associated with positive vaccination intentions. Chance externality health locus of control showed both direct and indirect effects upon positive vaccination intentions. Anxiety symptoms and participants' perceived psychological status also showed indirect positive effects. Subjects' self-reported motivations varied interestingly across positive vs. negative/hesitant intentions. Implications of these findings for identifying effective pro-vaccination messages are discussed in the final section of the paper.",AUG,2021,9,8,,WOS:000690274500001,34451935,,,,
322,"McElfish, Pearl A.; Willis, Don E.; Shah, Sumit K.; Bryant-Moore, Keneshia; Rojo, Martha O.; Selig, James P.","Sociodemographic Determinants of COVID-19 Vaccine Hesitancy, Fear of Infection, and Protection Self-Efficacy",JOURNAL OF PRIMARY CARE AND COMMUNITY HEALTH,"Objectives: Arkansas COVID-19 vaccine uptake has been lower than the national average. This study examined associations between sociodemographic factors and COVID-19 vaccine hesitancy, fear of infection, and protection self-efficacy. Methods: Adults either residing, having employment, or receiving health care in Arkansas (n = 754) participated in an online survey between October 30, 2020 and January 16, 2021. Participants were recruited in both rural and urban areas from 6 Arkansas primary care clinics. Survey questions addressed sociodemographic factors, COVID-19 infection fear, protection self-efficacy, and COVID-19 vaccine attitudes. Bivariate and multivariable logistic regression models were used to assess associations between dependent variables and respondents' sociodemographic characteristics, COVID-19 infection fear, and COVID-19 protection self-efficacy. Results: About 38% of participants reported COVID-19 vaccine hesitancy. Age, sex, race, and education were significantly associated with COVID-19 and general vaccine attitudes. Odds of COVID-19 vaccine hesitancy decreased as age increased (OR= 0.98; P<.01). Women had higher odds of COVID-19 vaccine hesitancy than men (OR= 1.52; P< .05). Respondents with a high school diploma and below and respondents with some college or a technical degree had greater odds of COVID-19 vaccine hesitancy (OR= 2.58; P< .001; and OR= 1.97; P< .01, respectively) compared to respondents with a 4-year college degree. Black/African American respondents had greater odds of COVID-19 vaccine hesitancy compared to White respondents (OR =3.08;p < .001). No significant difference was observed among rural and urban respondents regarding COVID-19 vaccine hesitancy; however, respondents in rural areas were more likely to report low general vaccine trust compared to those in urban areas (OR =1.87; P< .01). Respondents reporting no fear (OR = 5.51; P< .001) and very little fear (OR= 1.95; P< .05) of COVID-19 had greater odds of COVI D-19 vaccine hesitancy compared to respondents who feared COVI D-19 infection to a great extent. Conclusions: COVID-19 vaccine hesitancy and general trust in vaccines differ significantly among age, sex, race, and education. These trust and hesitancy patterns are challenges for achieving population immunity and follow similar patterns of vulnerability to COVID-19. Vaccination programs and interventions must consider these differences in COVID-19 vaccine hesitancy and general vaccine trust to alleviate COVID-19 disparities. Findings make a significant contribution in evaluating vaccine hesitancy among a large, diverse sample from a rural state.",AUG,2021,12,,,WOS:000693608500001,34427126,,,,
323,"Ricco, Matteo; Ferraro, Pietro; Peruzzi, Simona; Balzarini, Federica; Ranzieri, Silvia","Mandate or Not Mandate: Knowledge, Attitudes, and Practices of Italian Occupational Physicians towards SARS-CoV-2 Immunization at the Beginning of Vaccination Campaign",VACCINES,"Vaccinations used to prevent coronavirus disease (COVID-19)-the disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-are critical in order to contain the ongoing pandemic. However, SARS-CoV-2/COVID-19 vaccination rates have only slowly increased since the beginning of the vaccination campaign, even with at-risk workers (e.g., HCWs), presumptively because of vaccine hesitancy. Vaccination mandates are considered instrumental in order to rapidly improve immunization rates (but they minimize the impact of vaccination campaigns). In this study, we investigated the acceptance (i.e., knowledge, attitudes, and practices) from occupational physicians (OPs)) in regard to SARS-CoV-2/COVID-19 vaccination mandates. A total of 166 OPs participated in an internet-based survey by completing structured questionnaires. Adequate, general knowledge of SARS-CoV-2/COVID-19 was found in the majority of OPs. High perception of SARS-CoV-2 risk was found in around 80% of participants (79.5% regarding its occurrence, 81.9% regarding its potential severity). SARS-CoV-2/COVID-19 vaccination was endorsed by 90.4% of respondents, acceptance for SARS-CoV-2 vaccine was quite larger for mRNA formulates (89.8%) over adenoviral ones (59.8%). Endorsement of vaccination mandates was reported by 60.2% of respondents, and was more likely endorsed by OPs who exhibited higher concern for SARS-CoV-2 infection occurrence (odds ratio 3.462, 95% confidence intervals 1.060-11.310), who were likely to accept some sort of payment/copayment for SARS-CoV-2/COVID-19 vaccination (3.896; 1.607; 9.449), or who were more likely to believe HCWs not vaccinates against SARS-CoV-2 as unfit for work (4.562; 1.935; 10.753). In conclusion, OPs exhibited wide acceptance of SARS-CoV-2/COVID-19 vaccinations, and the majority endorsed vaccination mandates for HCWs, which may help improve vaccination rates in occupational settings.",AUG,2021,9,8,,WOS:000690274600001,34452014,,,,
